LATITUDE,LONGITUDE
38.93490133,-76.99256794
38.94030092,-77.02541304
38.86830817,-76.96803096
38.90170764,-76.97733042
38.92430306,-76.9848807
38.92024405,-76.99999931
38.91890437,-77.02364229
38.8745645,-76.97040004
38.8680031,-77.01036934
38.95606657,-77.02655485
38.97656593,-77.02813247
38.93630084,-77.02868418
38.82735337,-76.99461836
38.89851478,-76.97676391
38.9341376,-76.99091316
38.90790398,-77.02675587
38.95681836,-77.0225745
38.9344704,-77.02067358
38.85423183,-76.98765972
38.85990658,-76.9883921
38.90964506,-76.9851084
38.84930544,-76.97350779
38.85494866,-76.99128143
38.95648754,-77.02485083
38.92203077,-76.99220165
38.8700334,-76.97573182
38.90123352,-76.9754858
38.90836396,-77.02677979
38.90224462,-76.99586736
38.93852677,-77.02442356
38.909745,-76.99832622
38.82682775,-76.99723123
38.97716909,-77.01755787
38.86463162,-77.00078917
38.91090155,-77.0042059
38.87253806,-76.96944983
38.95675763,-77.01125644
38.93160868,-77.01903549
38.85823345,-76.99539211
38.93163484,-77.03824791
38.89548555,-76.98803265
38.97427486,-77.01630297
38.85124648,-76.97159147
38.92393485,-77.0343411
38.87020265,-76.97521655
38.87927087,-77.02398793
38.90283954,-76.97597406
38.94169921,-77.0243589
38.90795893,-77.02674793
38.8809368,-76.98782994
38.94930652,-77.02681974
38.9010405,-76.97696991
38.93111311,-76.99065152
38.93423053,-77.03245083
38.94420991,-77.02642458
38.97015831,-77.02687294
38.92253028,-77.04100859
38.90870304,-77.00044377
38.92968407,-77.03690719
38.89917977,-76.94993063
38.92379455,-77.01184744
38.92344629,-77.0256936
38.91645047,-77.04875729
38.92997103,-77.03151311
38.96557557,-77.07542972
38.9028027,-77.00243819
38.861551,-76.99848255
38.92615832,-77.03418856
38.90417019,-76.98103755
38.85495133,-76.96824835
38.9015298,-76.97548696
38.89998544,-76.98684518
38.93830517,-77.03245304
38.88079668,-76.9874788
38.90194979,-77.00260233
38.97670106,-77.02920107
38.90395982,-77.02843252
38.93305661,-76.9956815
38.92311471,-76.99787686
38.90831543,-76.92988104
38.89900317,-76.92980108
38.93212267,-77.02448273
38.88281181,-76.92375141
38.93243031,-77.02343883
38.90640071,-77.04756775
38.92352105,-77.0555961
38.92546215,-77.05428131
38.854891,-76.97803182
38.90275783,-77.00304068
38.93212948,-76.99586897
38.90315678,-76.99070475
38.91051463,-77.0336847
38.90076347,-76.97812952
38.85535494,-76.96794379
38.97783656,-77.0272793
38.86887482,-77.01030136
38.87448524,-77.00937852
38.9358427,-77.07263772
38.83831185,-76.9987467
38.89994612,-76.98978269
38.95749235,-77.0304539
38.90296439,-76.97923433
38.90989337,-77.00938006
38.85545161,-76.98640983
38.92422323,-77.00017656
38.91676014,-76.97678737
38.866129,-76.98303683
38.82657416,-76.99872733
38.92442147,-77.03189836
38.925151,-76.990686
38.876752,-77.015614
38.90887447,-76.99963393
38.87521083,-77.00625256
38.901772,-77.003305
38.925034,-77.036879
38.898793,-76.976913
38.949481,-77.079377
38.956192,-77.020784
38.94810413,-76.99887501
38.90038241,-76.9965919
38.923456,-77.042197
38.899953,-77.001409
38.87890654,-77.02186494
38.874318,-77.000376
38.87818586,-77.01936444
38.87673226,-77.01937119
38.84057692,-76.99167205
38.90028358,-77.0553495
38.930137,-76.990645
38.964762,-77.032404
38.90203655,-76.92156811
38.90447,-77.027603
38.88541816,-76.95333673
38.93505319,-77.02389135
38.91040529,-77.00744657
38.874885,-77.008688
38.9774335,-77.02624037
38.912048,-77.027352
38.85443282,-76.98873055
38.85690852,-76.99208157
38.90517571,-76.98037736
38.97381164,-77.03039464
38.94523537,-77.02672489
38.92425536,-76.96587717
38.90785884,-77.00146332
38.92107639,-77.02493305
38.894266,-76.999087
38.9073804,-77.00179351
38.92944575,-77.02352849
38.91024738,-77.04120584
38.90842537,-77.02356964
38.870893,-77.011839
38.94930209,-77.00845809
38.90022874,-77.02018939
38.82781202,-77.00005977
38.934001,-76.991336
38.92270367,-77.03058919
38.878877,-76.991104
38.89396726,-76.99528767
38.87558305,-77.00786184
38.87824153,-76.98713834
38.85539785,-76.98024865
38.925954,-77.026425
38.862163,-76.97195
38.90477812,-76.98063687
38.882384,-76.991329
38.87275917,-76.97663885
