167188	3
161378	0
131127	0
181406	2
102398	0
119650	0
203529	1
82054	1
70718	1
145592	2
93750	2
235517	3
202250	3
160412	0
91473	0
156250	0
105000	0
131162	3
106987	3
114618	0
107348	2
203796	2
170053	2
89268	0
50227	2
41894	1
74875	0
82344	0
63906	0
82500	0
58480	1
71528	1
67470	1
53073	1
105931	0
60205	5
104651	0
48893	0
65129	0
142417	4
54780	0
76541	0
47610	2
57652	0
93672	1
77609	1
84278	0
86307	0
118198	0
121375	1
87535	1
77500	0
92288	1
79904	0
95454	0
91009	0
117055	0
97125	0
132431	1
104818	1
105538	1
84375	0
154402	1
92738	3
29643	1
100179	2
106806	2
59980	0
77750	1
95500	1
131354	0
80833	0
109074	0
89340	2
77808	0
65833	1
135718	1
100000	3
23485	4
121779	0
146920	2
137829	1
83750	1
130809	0
124045	0
121354	0
69145	0
95481	3
76734	4
31782	1
14692	1
24758	0
35357	0
30000	1
38138	0
21735	0
35625	0
25027	0
29476	1
18618	1
34107	4
47770	2
51594	1
35042	0
23540	0
39746	0
35046	2
35423	2
37234	1
45396	3
33125	0
46115	1
32376	3
40521	1
47847	3
62717	0
135532	0
114000	0
137875	1
112784	0
132386	0
123542	2
79750	3
108304	1
98681	0
51518	0
62609	1
17303	0
43382	1
40313	0
28949	0
37868	5
42054	0
75703	0
84531	1
23177	2
91389	0
61836	0
96250	0
45455	0
93349	0
74728	1
63897	0
61905	1
56894	2
58819	1
30893	8
23188	6
40551	2
51944	2
32083	0
26205	0
20208	0
36405	0
39720	0
28042	2
29148	1
84103	4
47306	2
52284	0
31357	1
43829	0
42813	1
27328	2
87037	1
101250	3
59063	0
38750	1
71985	1
108571	2
72731	4
32132	9
31755	4
81667	6
59716	2	
